宫/B 寒/M 月/B 经/M 过/M 少/M 吃/B 什/M 么/M 药/B
葵/B 花/M 胃/B 康/M 灵/M 颗/B 粒/M 的/B 价/B 格/M
葵/B 花/M 鼻/B 腔/M 喷/B 雾/M 器/M 副/B 作/M 用/M
蒙/B 台/M 梭/M 利/M 培/B 养/M 孩/B 子/M 什/B 么/M
蒙/B 脫/M 石/M 散/B 一/B 停/B 就/B 會/B 拉/B 嗎/B
蒲/B 公/M 英/M 有/B 什/B 么/M 功/B 效/M 作/B 用/M
蒲/B 公/M 英/M 的/B 药/B 材/M 吃/B 什/M 么/M 病/B
蒲/B 地/M 蓝/M 口/B 服/M 液/M 和/B 小/B 快/B 克/M
蒲/B 地/M 蓝/M 牙/B 膏/M 功/B 效/M 与/B 作/B 用/M
蒸/B 蛋/M 羹/M 吃/B 了/B 会/B 拉/B 肚/M 子/M 吗/B
蓝/B 光/M 照/B 射/M 之/B 后/M 皮/B 肤/M 发/B 红/M
蓝/B 精/M 灵/M 保/B 健/M 幼/B 儿/M 园/M 电/B 话/M
蓝/B 芩/B 口/B 服/M 液/M 治/B 疗/M 感/B 冒/M 吗/B
蓝/B 莓/M 果/B 酱/M 能/B 不/M 能/M 直/B 接/M 吃/B
蔓/B 越/B 梅/B 胶/B 囊/M s/B w/M i/M s/M s/M e/M 怎/B 么/M 吃/B
蔗/B 糖/M 铁/M 注/B 射/M 剂/M 的/B 副/B 作/M 用/M
蔡/B 少/B 芬/M 如/B 何/M 治/B 好/B 的/B 强/B 直/M
蔡/B 瑞/M 满/B 玉/B 竹/M 佛/B 手/M 的/B 作/B 用/M
薏/B 仁/M 与/B 苡/B 仁/M 有/B 什/B 么/M 区/B 别/M
薏/B 仁/M 米/M 可/B 以/M 加/B 红/B 糖/M 吃/B 吗/B
薏/B 米/M 和/B 黄/B 豆/M 能/B 一/B 起/M 吃/B 吗/B
薏/B 米/M 红/B 豆/M 粥/M 多/B 久/M 喝/B 一/B 次/M
薰/B 衣/M 草/M 精/M 油/M 孕/B 妇/M 能/B 闻/B 嘛/B
藏/B 红/M 花/M 不/B 适/M 合/M 哪/B 些/M 人/B 群/M
藏/B 红/M 花/M 有/B 不/B 适/M 人/B 饮/B 用/M 吗/B
藕/B 粉/M 是/B 冷/B 却/M 之/B 后/M 变/B 成/M 水/B
藤/B 三/M 七/M 花/B 的/B 功/B 效/M 与/B 作/B 用/M
藤/B 黄/M 健/B 骨/B 胶/B 囊/M 与/B 丸/B 区/B 别/M
藤/B 黄/M 健/B 骨/B 胶/B 囊/M 什/B 么/M 功/B 效/M
藿/B 香/M 正/M 气/M 丸/B 能/B 治/B 拉/B 稀/M 吗/B
藿/B 香/M 正/M 气/M 丸/B 饭/B 后/M 多/B 久/M 吃/B
藿/B 香/M 正/M 气/M 水/M 婴/B 儿/M 能/B 用/B 吗/B
藿/B 香/M 正/M 气/M 水/M 治/B 水/B 土/M 不/M 服/M
藿/B 香/M 正/M 气/M 贴/B 肚/B 脐/M 的/B 危/B 害/M
虎/B 口/M 按/B 摩/M 酸/B 疼/M 怎/B 么/M 回/M 事/M
虎/B 头/M 蜂/M 酒/B 的/B 功/B 效/M 与/B 作/B 用/M
虎/B 门/M 万/B 福/M 妇/B 产/M 医/M 院/M 温/B 馨/M
虚/B 劳/B 病/B 的/B 中/B 医/M 鉴/B 别/M 诊/M 断/M
虚/B 汗/M 停/M 糖/B 浆/M 效/B 果/M 好/B 不/M 好/M
虫/B 子/M 飞/B 进/B 耳/B 朵/M 后/B 没/B 动/B 静/M
虫/B 草/M 清/B 肺/M 胶/M 囊/M 有/B 无/M 假/B 的/B
虹/B 口/M 区/M 江/B 湾/M 疫/B 苗/M 接/M 种/M 点/B
虹/B 膜/M 周/B 边/M 切/B 除/M 手/B 术/M 视/B 频/M
虹/B 膜/M 炎/M 应/B 该/M 挂/B 什/B 么/M 科/B 室/M
虾/B 和/B 鸡/B 蛋/M 能/B 在/B 一/M 起/M 吃/B 吗/B
虾/B 子/M 和/B 青/B 菜/M 能/B 一/B 起/M 吃/B 吗/B
虾/B 子/M 能/B 和/B 牛/B 奶/M 一/B 起/M 吃/B 吗/B
虾/B 子/M 能/B 跟/B 鸡/B 蛋/M 一/B 起/M 吃/B 吗/B
蚂/B 蜂/M 蛰/B 了/B 怎/B 么/M 消/B 肿/M 止/M 痛/M
蚊/B 子/M 主/B 要/M 传/B 播/M 哪/B 些/M 疾/B 病/M
蚊/B 子/M 会/B 传/B 播/M 尖/B 锐/M 湿/M 庞/B 吗/B
蚊/B 子/M 包/B 周/B 围/M 暗/B 红/M 色/M 印/B 子/M
蚊/B 子/M 叮/B 到/B 眼/B 皮/M 怎/B 么/M 消/B 肿/M
蚊/B 子/M 咬/B 了/B 留/B 下/M 疤/B 怎/B 么/M 办/M
蚊/B 子/M 咬/B 了/B 脚/B 趾/M 疼/B 怎/B 么/M 办/M
蚊/B 子/M 咬/B 后/B 肿/B 了/B 好/B 大/B 的/B 包/B
蚊/B 虫/M 叮/M 咬/M 后/B 多/B 久/M 能/B 恢/B 复/M
蚊/B 虫/M 咬/B 的/B 包/B 有/B 疤/B 怎/B 么/M 办/M
蚌/B 埠/M 哪/B 家/B 医/B 院/M 做/B 人/M 流/M 好/B
蚌/B 埠/M 顺/B 产/M 需/B 要/M 多/B 少/M 费/B 用/M
蚕/B 丝/M 蛋/B 白/M 对/B 皮/B 肤/M 的/B 好/B 处/M
蚕/B 豆/M 病/M 不/B 能/M 吃/M 婴/B 儿/M 素/M 吗/B
蚕/B 豆/M 病/M 能/B 用/B 保/B 心/M 安/M 油/B 吗/B
蛇/B 床/M 子/M 孕/B 妇/M 可/B 以/M 外/B 用/B 吗/B
蛇/B 满/B 疮/B 神/B 经/M 痛/M 怎/B 样/M 缓/B 解/M
蛇/B 盘/M 疮/M 严/B 重/M 的/B 会/B 死/B 人/M 么/B
蛇/B 盘/M 疮/M 好/B 了/B 为/B 什/M 么/M 还/B 痛/B
蛋/B 白/M 尿/M 加/B 号/M 影/B 响/M 孩/B 子/M 吗/B
蛋/B 白/M 粉/M 适/B 合/M 肝/B 癌/M 病/B 人/M 么/B
蛋/B 白/M 质/M 可/B 以/M 导/B 致/M 水/B 肿/M 吗/B
蛋/B 白/M 质/M 粉/M 太/B 甜/B 可/B 以/M 吃/B 吗/B
蛋/B 蛋/M 大/B 小/M 多/B 大/M 正/B 常/M 图/B 片/M
蛔/B 虫/M 对/B 气/B 色/M 有/B 什/B 么/M 影/B 响/M
蛛/B 网/M 膜/M 出/B 血/M 治/B 疗/M 多/B 少/M 钱/B
蛹/B 虫/M 草/M 泡/B 水/M 后/B 可/B 以/M 吃/B 吗/B
蜂/B 王/M 浆/M 可/B 以/M 间/B 断/M 的/B 吃/B 吗/B
蜂/B 胶/M 牙/B 膏/M 能/B 治/B 牙/B 结/M 石/M 吗/B
蜂/B 蜜/M 与/B 蛋/B 清/M 有/B 什/B 么/M 功/B 效/M
蜂/B 蜜/M 可/B 以/M 容/B 进/B 茶/B 油/M 里/B 吗/B
蜂/B 蜜/M 和/B 竹/B 笋/M 能/B 一/B 起/M 吃/B 吗/B
蜂/B 蜜/M 怎/B 么/M 治/B 疗/M 腰/B 肌/M 劳/M 损/M
蜂/B 蜜/M 有/B 没/M 有/M 下/B 火/B 的/B 作/B 用/M
蜂/B 蜜/M 柚/M 子/M 茶/M 怎/B 么/M 喝/B 最/B 好/M
蜂/B 蜜/M 柠/B 檬/M 水/M 一/B 样/M 的/B 东/B 西/M
蜂/B 蜜/M 柠/B 檬/M 片/M 什/B 么/M 牌/B 子/M 好/B
蜂/B 蜜/M 泡/B 白/B 萝/M 卜/M 风/B 热/M 感/M 冒/M
蜂/B 蜜/M 腌/B 柠/B 檬/M 喝/B 了/B 上/B 火/M 吗/B
蜈/B 蚣/M 止/B 咳/M 丸/B 孕/B 妇/M 能/B 吃/B 吗/B
蜜/B 瘦/B 减/B 肥/M 药/M 真/B 的/B 管/B 用/M 吗/B
蝉/B 王/B 乳/B 膏/M 小/B 孩/M 能/B 不/M 能/M 用/B
蝎/B 子/M 毒/B 对/B 牛/B 皮/M 癣/M 的/B 疗/B 效/M
蝎/B 毒/B 追/B 风/M 贴/B 多/B 少/M 钱/B 一/B 盒/M
蝶/B 恋/M 花/M 植/B 物/M 水/B 疗/M 修/B 复/M 霜/B
螃/B 蟹/M 和/B 大/B 枣/M 能/B 一/B 起/M 吃/B 吗/B
螃/B 蟹/M 和/B 花/B 生/M 吃/B 了/B 怎/B 么/M 办/M
螨/B 虫/M 尸/B 体/M 堵/B 塞/M 毛/B 孔/M 图/B 片/M
螺/B 旋/M 杆/B 菌/M 是/B 怎/B 么/M 感/B 染/M 的/B
蟋/B 蟀/M 喂/B 西/B 洋/M 参/M 泡/B 水/M 比/B 例/M
血/B 压/M 低/M 月/B 经/M 会/B 不/M 会/M 推/B 迟/M
血/B 压/M 低/M 的/B 人/B 容/B 易/M 晕/B 车/M 吗/B
血/B 压/M 忽/B 高/B 忽/B 低/B 该/B 怎/M 么/M 办/M
血/B 压/M 正/B 常/M 心/B 律/M 快/B 心/B 脏/M 大/B
血/B 压/M 血/B 脂/M 血/B 糖/M 高/M 吃/B 什/M 么/M
血/B 压/M 高/B 伴/B 头/B 晕/M 怎/B 么/M 回/M 事/M
血/B 压/M 高/B 和/B 头/B 疼/M 有/B 关/M 系/M 吗/B
血/B 压/M 高/B 的/B 人/B 能/B 喝/B 药/B 酒/M 吗/B
血/B 唐/B 低/B 的/B 人/B 特/B 能/B 吃/B 饭/M 吗/B
血/B 块/M 在/B 阴/B 道/M 口/B 排/B 不/B 出/B 来/M
血/B 型/M 会/B 影/B 响/M 孩/B 子/M 智/M 力/M 吗/B
血/B 塞/M 通/M 滴/B 丸/M 和/B 血/B 塞/M 通/M 片/M
血/B 容/B 量/M 不/B 足/M 有/B 什/B 么/M 表/B 现/M
血/B 小/B 减/B 少/M 可/B 以/M 吃/B 斑/B 鸠/M 吗/B
血/B 小/M 板/M 5/B 0/M 0/M 的/B 原/B 因/M 及/B 后/B 果/M
血/B 小/M 板/M 不/B 造/B 血/M 是/B 什/M 么/M 病/B
血/B 小/M 板/M 低/B 什/B 么/M 原/B 因/M 导/B 致/M
血/B 小/M 板/M 低/B 可/B 以/M 吃/B 马/B 齿/M 苋/M
血/B 小/M 板/M 减/M 少/M 且/B 体/B 重/M 变/B 轻/B
血/B 小/M 板/M 减/M 少/M 腿/B 上/B 浮/B 肿/M 吗/B
血/B 小/M 板/M 厂/B 减/B 少/M 易/B 发/M 地/B 区/M
血/B 小/M 板/M 容/B 积/M 偏/B 低/M 的/B 原/B 因/M
血/B 小/M 板/M 生/B 成/M 素/B 几/B 天/M 见/B 效/M
血/B 小/M 板/M 跟/B 肝/B 功/M 能/M 有/B 关/M 吗/B
血/B 尿/M 定/B 位/M 留/B 什/B 么/M 时/B 间/M 尿/B
血/B 常/M 规/M 和/B 肝/B 功/M 能/M 查/B 什/B 么/M
血/B 常/M 规/M 怎/B 么/M 看/M 是/B 否/M 贫/B 血/M
血/B 常/M 规/M 紫/B 管/B 血/B 小/M 板/M 聚/B 集/M
血/B 常/M 规/M 能/B 查/B 出/M 败/B 血/M 症/B 吗/B
血/B 性/B 白/B 带/M 应/B 做/B 哪/B 些/M 检/B 查/M
血/B 有/B 斑/B 块/M 能/B 影/B 响/M 耳/B 朵/M 吗/B
血/B 栓/M 弹/B 力/M 图/B 指/B 标/M 的/B 意/B 义/M
血/B 检/B 不/B 合/M 格/M 是/B 什/M 么/M 原/B 因/M
血/B 检/B 血/B 沉/M 高/B 是/B 怎/B 么/M 回/M 事/M
血/B 沉/M 2/B 1/M 血/B 常/M 规/M c/B 蛋/B 白/M 正/B 常/M
血/B 浆/M 和/B 血/B 清/M 的/B 主/B 要/M 区/B 别/M
血/B 浆/M 酶/B 原/B 激/B 活/M 剂/M 抑/B 制/M 剂/M
血/B 浆/M 醛/B 固/M 酮/M 立/B 卧/B 位/B 试/B 验/M
血/B 海/M 穴/M 什/B 么/M 时/M 候/M 最/B 佳/M 按/B
血/B 液/M 常/B 规/M 中/B 的/B 血/B 脂/M 参/B 数/M
血/B 液/M 循/M 环/M 好/B 喝/B 中/B 药/M 行/B 吗/B
血/B 液/M 特/B 别/M 稀/B 是/B 怎/B 么/M 回/M 事/M
血/B 液/M 生/B 化/M 一/B 般/M 抽/B 多/B 少/M 血/B
血/B 液/M 生/B 化/M 能/B 查/B 出/M 甲/B 亢/M 吗/B
血/B 液/M 真/B 菌/M 感/B 染/M 能/B 治/B 好/B 吗/B
血/B 液/M 粘/B 稠/M 可/B 以/M 吃/B 红/B 枣/M 吗/B
血/B 液/M 里/B 面/M 的/B 胆/B 固/M 醇/M 结/B 晶/M
血/B 清/M 促/B 甲/B 状/M 腺/M 激/M 素/M 测/B 定/M
血/B 清/M 甘/B 油/M 三/M 酯/M 是/B 指/B 什/B 么/M
血/B 清/M 铁/B 蛋/M 白/M 需/B 要/M 空/B 腹/M 吗/B
血/B 滤/B 管/B 路/M 用/B 后/B 处/M 理/M 流/B 程/M
血/B 管/M 内/B 皮/B 生/B 长/M 因/M 子/M 受/B 体/M
血/B 管/M 外/B 伤/M 会/B 引/M 起/M 阻/B 塞/M 吗/B
血/B 管/M 断/B 开/M 以/B 后/M 能/B 合/B 住/B 吗/B
血/B 管/M 易/B 破/B 裂/M 是/B 什/M 么/M 原/B 因/M
血/B 管/M 瘤/M 长/B 在/B 眼/B 皮/M 上/B 图/B 片/M
血/B 管/M 细/B 的/B 人/B 应/B 该/M 吃/B 什/M 么/M
血/B 管/M 结/B 节/M 会/B 自/B 己/M 消/B 失/M 吗/B
血/B 管/M 阻/B 力/M 低/B 是/B 怎/B 么/M 回/M 事/M
血/B 精/M 症/B 对/B 身/B 体/M 有/B 影/B 响/M 吗/B
血/B 糖/M 为/B 什/M 么/M 会/B 测/B 不/B 出/B 来/M
血/B 糖/M 低/B 会/B 导/M 致/M 什/B 么/M 后/B 果/M
血/B 糖/M 达/B 到/M 多/B 少/M 引/B 起/M 消/B 瘦/M
血/B 糖/M 达/B 到/M 多/B 少/M 打/B 胰/B 岛/M 素/M
血/B 糖/M 高/M 不/B 能/M 吃/M 那/B 些/M 零/B 食/M
血/B 糖/M 高/B 人/M 能/B 吃/B 小/B 米/M 粥/M 吗/B
血/B 糖/M 高/M 吃/B 点/B 红/B 薯/M 碍/B 事/M 么/B
血/B 糖/M 高/M 在/B 治/B 疗/M 吃/B 点/B 什/B 么/M
血/B 糖/M 高/M 容/B 易/M 得/B 阴/B 道/M 炎/M 吗/B
血/B 糖/M 高/M 影/B 响/M 精/B 子/M 质/M 量/M 吗/B
血/B 糖/M 高/M 怎/B 么/M 办/M 吃/B 什/M 么/M 药/B
血/B 糖/M 高/M 的/B 人/B 能/B 否/M 吃/B 稀/B 饭/M
血/B 糖/M 高/B 纯/M 牛/B 奶/M 可/B 以/M 喝/B 吗/B
血/B 糖/M 高/B 跟/M 吃/B 糖/M 有/B 关/M 系/M 吗/B
血/B 细/M 胞/M 浓/B 度/M 偏/B 高/M 怎/B 么/M 办/M
血/B 胆/B 红/M 素/M 高/B 有/B 什/B 么/M 影/B 响/M
血/B 脂/M 高/M 可/B 以/M 叫/B 高/B 血/M 脂/M 吗/B
血/B 脂/M 高/M 应/B 如/B 何/M 治/B 疗/M 方/M 法/M
血/B 脂/M 高/M 手/B 掌/M 有/B 什/B 么/M 特/B 征/M
血/B 脂/M 高/B 能/M 引/B 起/M 高/B 血/M 压/M 吗/B
血/B 脂/M 高/M 血/B 粘/M 稠/M 怎/B 么/M 治/B 疗/M
血/B 色/M 白/B 带/M 屁/B 眼/M 有/B 下/B 坠/M 感/B
血/B 藤/M 泡/B 酒/M 的/B 功/B 效/M 和/B 作/B 用/M
血/B 项/B 白/B 细/M 胞/M 计/M 数/M 有/B 点/M 低/B
衡/B 水/M 五/B 院/M 照/B 蓝/B 光/M 多/B 少/M 钱/B
衡/B 水/M 哈/B 院/B 胃/B 造/B 影/M 多/B 少/M 钱/B
衡/B 水/M 哪/B 里/M 医/B 院/M 治/B 抑/B 郁/M 好/B
衡/B 水/M 哪/B 里/M 能/B 查/B 男/B 孩/M 女/M 孩/M
衡/B 水/M 市/M 哪/B 家/B 医/B 院/M 产/B 检/B 好/B
衡/B 水/M 治/B 神/B 经/M 衰/M 弱/M 的/B 医/B 院/M
衡/B 水/M 看/B 抑/B 郁/M 症/M 好/B 的/B 医/B 院/M
衡/B 阳/M 蒸/B 湘/M 区/M 妇/B 幼/M 保/M 健/M 院/M
衢/B 州/M 市/B 中/M 医/M 院/M 网/B 上/M 挂/M 号/M
衣/B 原/M 体/M 阳/B 性/M 能/B 要/B 孩/B 子/M 吗/B
补/B 了/B 的/B 牙/B 一/B 年/M 后/B 痛/B 咋/B 办/M
补/B 体/M c/B 3/M 偏/B 低/M 玉/B 屏/M 风/M 颗/B 粒/M
补/B 佳/M 乐/M 价/B 格/M 及/B 使/B 用/M 说/M 明/M
补/B 完/M 牙/B 可/B 以/M 用/B 漱/B 口/M 水/M 吗/B
补/B 气/M 口/B 服/M 液/M 有/B 什/B 么/M 好/B 处/M
补/B 液/M 中/B 糖/M 与/B 胰/B 岛/M 素/M 比/B 例/M
补/B 牙/M 后/B 有/B 什/B 么/M 注/B 意/M 事/M 项/M
补/B 牙/M 要/B 烤/B 瓷/M 还/B 是/M 金/B 属/M 好/B
补/B 肾/M 最/B 好/M 的/B 食/B 材/M 是/B 什/M 么/M
补/B 肾/M 的/B 药/B 对/B 胃/B 有/B 反/B 应/M 吗/B
补/B 肾/M 益/B 脑/B 胶/B 囊/M 吉/B 林/M 鹿/B 王/M
补/B 血/M 口/B 服/M 液/M 空/B 腹/M 喝/B 好/B 吗/B
补/B 血/M 药/M 什/B 么/M 时/M 候/M 吃/B 最/B 好/M
补/B 骨/M 脂/M 泡/B 酒/M 的/B 比/B 例/M 多/B 少/M
表/B 皮/M 囊/B 肿/M 能/B 自/B 己/M 吸/B 收/M 吗/B
被/B 什/B 么/M 虫/B 咬/M 的/B 起/B 大/B 疙/B 瘩/M
被/B 传/B 染/M 了/B 霉/B 菌/M 性/M 阴/M 道/M 炎/M
被/B 咬/B 伤/M 需/B 要/M 抽/B 血/M 化/M 验/M 吗/B
被/B 咬/B 后/B 多/B 久/M 内/B 打/B 针/M 有/B 效/M
被/B 噩/B 梦/M 惊/B 醒/M 失/B 眠/M 的/B 句/B 子/M
被/B 大/B 蒜/M 辣/B 伤/B 眼/B 睛/M 怎/B 么/M 办/M
被/B 小/B 咬/B 咬/M 了/B 涂/B 什/B 么/M 药/B 好/B
被/B 小/B 蜘/B 蛛/M 咬/B 了/B 最/B 后/M 发/B 黑/B
被/B 开/B 水/M 烫/M 了/B 应/B 该/M 怎/B 么/M 办/M
被/B 怀/B 孕/M 的/B 猫/B 咬/B 了/B 怎/B 么/M 办/M
被/B 手/B 表/M 划/B 伤/M 流/B 血/M 怎/B 么/M 办/M
被/B 油/B 烫/B 伤/M 的/B 斑/B 能/B 去/B 掉/M 吗/B
被/B 烫/B 伤/M 后/B 处/M 理/M 方/B 法/M 正/B 确/M
被/B 狗/B 咬/B 之/B 后/M 能/B 吃/B 苹/M 果/M 吗/B
被/B 狗/B 咬/B 了/B 之/B 后/M 怎/B 么/M 处/B 理/M
被/B 狗/B 咬/B 了/B 还/B 能/M 不/M 能/M 撸/B 管/M
被/B 狗/B 抓/B 没/B 破/B 需/B 要/M 打/B 针/M 吗/B
被/B 生/B 锈/M 的/B 刀/B 子/M 割/B 破/B 手/B 指/M
被/B 碘/B 酒/M 烧/B 伤/M 皮/B 肤/M 怎/B 么/M 办/M
被/B 老/B 鼠/M 咬/B 了/B 头/B 痛/M 什/B 么/M 办/B
被/B 自/B 己/M 加/B 的/B 泰/B 迪/M 咬/B 伤/M 了/B
被/B 自/B 己/M 家/B 的/B 狗/B 抓/B 伤/M 十/B 天/M
被/B 艾/B 滋/M 病/M 人/M 抓/B 伤/M 没/B 破/B 皮/B
被/B 蒸/B 汽/M 烫/B 伤/M 后/B 怎/B 么/M 处/B 理/M
被/B 虫/B 蛀/M 的/B 牙/B 齿/M 怎/B 么/M 变/B 白/B
被/B 蚊/B 子/M 叮/B 肿/B 后/B 如/B 何/M 消/B 肿/M
被/B 蚊/B 子/M 咬/B 过/B 后/M 伤/B 口/M 发/B 青/M
被/B 蚊/B 虫/M 叮/M 咬/M 后/B 能/B 洗/B 澡/M 吗/B
被/B 蜜/B 蜂/M 蜇/B 了/B 可/B 以/M 喝/B 酒/M 吗/B
装/B 修/M 污/M 染/M 会/B 得/B 白/B 血/M 病/M 吗/B
装/B 陶/B 瓷/M 牙/B 过/B 程/M 会/B 不/M 会/M 痛/B
裤/B 头/B 煮/B 煮/B 能/B 消/B 除/M 细/B 菌/M 吗/B
裸/B 花/M 紫/M 珠/M 片/B 是/B 什/M 么/M 颜/B 色/M
襄/B 阳/M 一/B 医/B 院/M 中/B 医/M 比/B 较/M 好/M
襄/B 阳/M 中/B 医/M 医/M 院/M 人/B 流/M 手/B 术/M
襄/B 阳/M 哪/B 里/M 眼/B 科/M 好/B 的/B 医/B 院/M
西/B 交/M 大/M 口/B 腔/M 医/M 院/M 拔/B 智/B 齿/M
西/B 京/M 医/M 院/M 2/B 0/M 1/M 6/M 年/B 9/B 月/B 8/B 日/B 会/B
西/B 京/M 医/M 院/M 体/B 检/M 中/B 心/M 怎/B 样/M
西/B 京/M 医/M 院/M 看/B 肝/B 病/M 好/B 不/M 好/M
西/B 京/M 医/M 院/M 秦/B 军/M 预/B 约/M 时/B 间/M
西/B 医/M 怎/B 么/M 改/B 中/B 医/M 的/B 程/B 序/M
西/B 咪/M 替/M 丁/M 奥/B 美/M 拉/M 唑/M 合/B 用/B
西/B 咪/M 替/M 丁/M 片/B 的/B 不/B 良/M 反/M 应/M
西/B 宁/M 哪/B 个/M 心/B 理/M 医/B 院/M 最/B 好/M
西/B 宁/M 哪/B 里/M 可/B 以/M 刷/B 医/B 保/M 卡/M
西/B 安/M 中/B 医/M 医/M 院/M 针/B 灸/M 减/M 肥/M
西/B 安/M 交/M 大/M 儿/B 童/M 医/M 院/M 地/B 址/M
西/B 安/M 交/B 通/M 二/B 附/B 院/M 李/B 瑞/M 林/M
西/B 安/M 仲/B 德/M 骨/B 科/M 医/M 院/M 地/B 址/M
西/B 安/M 华/B 山/M 皮/B 肤/M 医/B 院/M 骗/B 子/M
西/B 安/M 呼/B 吸/M 科/M 哪/B 家/B 医/B 院/M 好/B
西/B 安/M 哪/B 家/B 医/B 院/M 有/B 免/B 疫/M 科/B
西/B 安/M 哪/B 家/B 医/B 院/M 看/B 胃/B 肠/M 好/B
西/B 安/M 哪/B 家/B 胃/B 肠/M 医/B 院/M 最/B 佳/M
西/B 安/M 哪/B 看/B 血/B 管/M 瘤/M 看/B 的/B 好/B
西/B 安/M 哪/B 里/M 治/B 牙/B 疼/M 效/B 果/M 好/M
西/B 安/M 处/B 女/M 膜/M 修/B 复/M 哪/B 里/M 好/B
西/B 安/M 妇/B 科/M 医/B 院/M 咨/B 询/M 热/M 线/M
西/B 安/M 斑/B 巢/M 堂/M 医/B 院/M 怎/B 么/M 样/M
西/B 安/M 曲/B 江/M 都/B 有/B 哪/B 些/M 早/B 教/M
西/B 安/M 皇/B 城/M 整/B 形/M 医/M 院/M 吸/B 脂/M
西/B 安/M 第/B 四/M 人/M 民/B 医/B 院/M 在/B 哪/B
西/B 安/M 红/B 会/M 医/B 院/M 专/M 家/M 门/M 诊/M
西/B 安/M 红/B 会/M 医/B 院/M 骨/B 科/M 如/B 何/M
西/B 安/M 胃/B 病/M 医/B 院/M 收/B 费/M 标/M 准/M
西/B 安/M 胆/B 汁/M 胃/B 炎/M 如/B 何/M 治/B 疗/M
西/B 安/M 西/B 京/M 医/M 院/M 心/B 脏/M 外/M 科/M
西/B 安/M 西/B 京/M 医/M 院/M 神/B 经/M 外/M 科/M
西/B 安/M 远/B 大/M 男/B 科/M 收/B 费/M 高/B 吗/B
西/B 安/M 那/B 家/B 医/B 院/M 治/B 肝/B 病/M 好/B
西/B 洋/M 参/M 冷/B 了/B 喝/B 效/B 果/M 好/M 吗/B
西/B 洋/M 参/M 和/B 三/B 七/M 粉/M 怎/B 么/M 吃/B
西/B 洋/M 参/M 用/B 开/B 水/M 泡/B 可/B 以/M 吗/B
西/B 瓜/M 和/B 鱿/B 鱼/M 能/B 一/B 起/M 吃/B 吗/B
西/B 瓜/M 霜/M 喷/B 雾/M 喷/B 剂/M 的/B 作/B 用/M
西/B 瓜/M 霜/M 是/B 中/B 药/M 还/B 是/M 西/B 药/M
西/B 米/M 替/M 丁/M 注/B 射/M 夜/B 说/B 明/M 书/M
西/B 红/M 柿/M 和/B 桔/B 子/M 能/B 一/B 起/M 吃/B
西/B 红/M 柿/M 核/B 桃/M 榨/B 汁/M 能/B 喝/B 吗/B
西/B 红/M 柿/M 蜂/B 蜜/M 鸡/B 青/B 做/B 面/B 膜/M
西/B 药/M 过/B 期/M 一/B 年/M 还/B 能/M 吃/B 吗/B
西/B 葫/M 芦/M 的/B 切/B 法/B 图/B 解/M 切/B 片/M
西/B 藏/M 回/B 来/M 脸/B 很/B 红/B 怎/B 么/M 办/M
要/B 做/B 手/B 术/M 了/B 发/B 心/B 情/M 说/B 说/M
要/B 做/B 糖/B 耐/M 能/B 吃/B 什/M 么/M 水/B 果/M
要/B 去/B 人/B 流/M 需/B 要/M 注/B 意/M 什/B 么/M
要/B 孩/B 子/M 前/B 男/B 方/M 吃/B 什/M 么/M 药/B
要/B 孩/B 子/M 男/B 的/B 用/B 吃/B 叶/B 酸/M 吗/B
要/B 怎/B 么/M 保/B 养/M 才/B 没/B 有/M 眼/B 袋/M
要/B 投/B 诉/M 医/B 院/M 有/B 什/B 么/M 电/B 话/M
要/B 是/M 在/B 临/B 床/M 上/B 被/B 针/B 扎/M 到/B
要/B 钱/M 的/B 疫/B 苗/M 有/B 必/M 要/M 打/B 吗/B
见/B 红/M 了/B 宫/B 缩/M 十/B 分/M 钟/M 一/B 次/M
规/B 律/M 宫/B 缩/M 不/B 痛/M 也/B 不/B 见/M 红/B
视/B 网/M 膜/M 手/B 术/M 多/B 少/M 能/B 回/B 家/M
角/B 化/M 囊/B 肿/M 的/B 内/B 容/M 物/B 什/B 么/M
角/B 膜/M 塑/M 形/M 镜/M 的/B 适/B 用/M 范/M 围/M
角/B 质/M 层/M 自/B 我/M 修/B 复/M 要/B 多/B 久/M
解/B 决/M 失/B 眠/M 最/B 有/M 效/M 的/B 方/B 法/M
解/B 大/B 便/M 出/B 血/M 是/B 什/M 么/M 原/B 因/M
解/B 小/B 使/B 刺/B 痛/M 是/B 怎/B 么/M 回/M 事/M
解/B 放/M 军/M 2/B 1/M 1/M 医/B 院/M 营/B 业/M 时/M 间/M
解/B 放/M 军/M 3/B 0/M 2/M 肝/B 病/M 医/B 院/M 地/B 址/M
解/B 放/M 军/M 体/B 检/M 转/B 氨/M 酶/M 标/B 准/M
解/B 脲/M 支/M 原/M 体/M 没/B 有/M 说/B 阳/B 性/M
解/B 脲/M 支/M 原/M 体/M 阳/B 性/M 好/B 治/B 吗/B
让/B 痔/B 疮/M 手/B 术/M 线/B 快/B 速/M 脱/B 落/M
让/B 眼/B 睛/M 快/B 速/M 近/B 视/M 的/B 方/B 法/M
让/B 阴/B 茎/M 增/M 长/M 吃/B 什/M 么/M 中/B 药/M
训/B 觉/B 会/B 头/B 晕/M 是/B 什/M 么/M 问/B 题/M
评/B 价/M 两/B 种/M 抗/B 抑/M 郁/M 药/M 疗/B 效/M
诊/B 刮/B 后/B 来/M 月/B 经/M 时/B 间/M 会/B 长/M
